"","Tattoo","Eimeria","Isospora","Fleas","Lice","Ticks","Sex","fYear","Year","Month","Age","AgeCat","X","Y","Degree","Strength","GroupSize","LifetimeDensity","TrappingDensity","AnnualDensity","Survived","BCI"
"881",829,NA,NA,0,2,0,"Male","1991",1991,"10",4,"A",47,135,13,13,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,1,0.619192099480841
"882",1421,NA,NA,0,2,1,"Female","1991",1991,"10",3,"A",131,85,33,39,21,1.7987562472653e-05,2.60259449841466e-05,2.11559886737337e-05,1,1.11397230594386
"883",526,NA,NA,0,0,0,"Female","1991",1991,"10",2,"A",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,0.959969792279801
"884",824,NA,NA,1,1,1,"Female","1991",1991,"10",0,"C",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,0,NA
"885",834,NA,NA,2,1,1,"Female","1991",1991,"10",0,"C",107,199,5,5,6,3.43252525557025e-05,5.35954643723891e-05,2.0920965425767e-05,1,NA
"886",835,NA,NA,2,0,1,"Female","1991",1991,"10",0,"C",107,199,5,5,6,3.43252525557025e-05,5.35954643723891e-05,2.0920965425767e-05,1,0.450530307373234
"887",844,NA,NA,1,2,0,"Male","1991",1991,"10",0,"C",47,135,13,13,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,1,-0.643254789462866
"888",848,NA,NA,1,2,0,"Female","1991",1991,"10",0,"C",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,0,0.563861353130484
"889",849,NA,NA,0,1,1,"Female","1991",1991,"10",0,"C",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,0.646331104878007
"890",856,NA,NA,1,2,0,"Male","1991",1991,"10",0,"C",47,135,21,23,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,1,0.582553456503493
"891",184,NA,NA,0,1,0,"Female","1991",1991,"10",7,"A",104,192,1,1,8,3.50987541024159e-05,5.17886421045977e-05,2.13509971820378e-05,0,1.01469321025589
"892",269,NA,NA,0,3,0,"Female","1991",1991,"10",11,"A",47,135,13,13,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,1,0.356152595781048
"893",471,NA,NA,0,0,0,"Male","1991",1991,"10",5,"A",131,85,44,52,21,1.7987562472653e-05,2.60259449841466e-05,2.11559886737337e-05,1,NA
"894",903,NA,NA,0,2,0,"Male","1991",1991,"10",12,"A",47,135,13,13,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,1,0.240212926223146
"895",937,NA,NA,0,2,0,"Male","1991",1991,"10",7,"A",47,135,13,13,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,1,0.536634276167897
"896",946,NA,NA,0,2,0,"Male","1991",1991,"10",7,"A",34,121,21,23,22,3.41249111859862e-05,5.15906714533065e-05,3.83989564211687e-05,1,0.497710968120495
"897",1179,NA,NA,1,1,0,"Female","1991",1991,"10",7,"A",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,1.20508831881853
"898",280,NA,NA,1,1,0,"Male","1991",1991,"10",3,"A",34,121,21,23,22,3.41249111859862e-05,5.15906714533065e-05,3.83989564211687e-05,1,0.771966300961
"899",535,NA,NA,0,0,0,"Female","1991",1991,"10",2,"A",21,77,42,49,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,1.16375711503211
"900",550,NA,NA,0,0,0,"Female","1991",1991,"10",2,"A",131,85,35,39,21,1.7987562472653e-05,2.60259449841466e-05,2.11559886737337e-05,1,1.12258254837246
"901",563,NA,NA,0,0,1,"Female","1991",1991,"10",2,"A",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,NA
"902",698,NA,NA,1,1,0,"Female","1991",1991,"10",2,"A",133,182,5,5,8,3.40255574578346e-05,4.1738942819679e-05,1.90091115805358e-05,1,1.77528049960174
"903",839,NA,NA,1,0,0,"Female","1991",1991,"10",0,"C",133,182,5,5,8,3.40255574578346e-05,4.1738942819679e-05,1.90091115805358e-05,1,NA
"904",853,NA,NA,0,0,0,"Male","1991",1991,"10",0,"C",44,175,10,10,13,3.88936011226331e-05,7.25866006929479e-05,2.42334186368548e-05,1,NA
"905",854,NA,NA,1,2,1,"Female","1991",1991,"10",0,"C",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,-0.592438855607926
"906",861,NA,NA,0,1,1,"Male","1991",1991,"10",0,"C",44,175,10,10,13,3.88936011226331e-05,7.25866006929479e-05,2.42334186368548e-05,1,-0.354215385613176
"907",808,NA,NA,1,1,0,"Male","1991",1991,"10",9,"A",47,135,21,23,22,3.97476914904642e-05,6.34467079537609e-05,4.02758642993928e-05,0,0.510404138111266
"908",810,NA,NA,1,1,0,"Female","1991",1991,"10",12,"A",133,182,5,5,8,3.40255574578346e-05,4.1738942819679e-05,1.90091115805358e-05,1,1.54742449862262
"909",820,NA,NA,1,2,0,"Male","1991",1991,"10",10,"A",44,175,12,15,13,3.88936011226331e-05,7.25866006929479e-05,2.42334186368548e-05,1,1.73390139049652
"910",1158,NA,NA,1,1,1,"Female","1991",1991,"10",7,"A",21,77,20,20,21,2.67548073681436e-05,4.4658353416575e-05,3.3965042553578e-05,1,0.660288836767036
"911",613,NA,NA,0,1,0,"Female","1991",1991,"10",2,"A",79,0,6,6,7,1.37700788277108e-05,1.62674068034132e-05,1.68423381621623e-05,1,0.582553456503493
"912",803,NA,NA,1,2,0,"Male","1991",1991,"10",1,"Y",108,10,11,13,21,1.89842668313835e-05,4.26615370043863e-05,1.81572852774632e-05,1,NA
"913",827,NA,NA,2,1,0,"Male","1991",1991,"10",0,"C",79,0,6,6,7,1.37700788277108e-05,1.62674068034132e-05,1.68423381621623e-05,1,NA
"914",3,NA,NA,0,2,0,"Male","1991",1991,"10",7,"A",108,10,6,6,21,1.89842668313835e-05,4.26615370043863e-05,1.81572852774632e-05,1,0.698448982170846
"915",807,NA,NA,1,2,0,"Female","1991",1991,"10",9,"A",174,44,19,19,18,4.88481423321562e-05,0.000126372047344651,3.02419071842466e-05,1,0.360607881254271
"916",1217,NA,NA,1,1,0,"Female","1991",1991,"10",10,"A",79,0,19,22,7,1.37700788277108e-05,1.62674068034132e-05,1.68423381621623e-05,1,0.321481799802254
"917",1248,NA,NA,1,2,0,"Male","1991",1991,"10",10,"A",189,45,19,19,18,4.47964172011959e-05,9.19135631406246e-05,3.00789715451886e-05,1,-0.410553954021573
"918",1317,NA,NA,3,3,0,"Male","1991",1991,"10",12,"A",189,45,9,9,18,4.47964172011959e-05,9.19135631406246e-05,3.00789715451886e-05,1,-0.300332636618167
"919",1374,NA,NA,2,2,0,"Male","1991",1991,"10",12,"A",174,44,17,19,18,4.88481423321562e-05,0.000126372047344651,3.02419071842466e-05,1,0.190385623428471
"920",1454,NA,NA,1,1,0,"Male","1991",1991,"10",5,"A",96,58,18,22,14,1.6231890287148e-05,3.01356664406397e-05,2.6284167764416e-05,1,0.440394360228209
"921",775,NA,NA,0,1,0,"Male","1991",1991,"10",2,"A",82,75,10,10,14,1.95671261934994e-05,4.170252311001e-05,3.05595033019742e-05,1,-0.082952932954015
"922",1550,NA,NA,0,1,0,"Female","1991",1991,"10",4,"A",189,45,9,9,18,4.47964172011959e-05,9.19135631406246e-05,3.00789715451886e-05,1,1.05344138271183
"923",140,NA,NA,1,1,0,"Male","1991",1991,"10",3,"A",115,116,6,6,7,1.7362543649845e-05,4.6658757645433e-05,2.25892747607498e-05,1,1.10603597399554
"924",832,NA,NA,0,1,0,"Male","1991",1991,"10",0,"C",174,44,10,10,18,4.88481423321562e-05,0.000126372047344651,3.02419071842466e-05,1,-0.566427601502453
"925",847,NA,NA,0,2,0,"Male","1991",1991,"10",0,"C",82,75,32,36,14,1.95671261934994e-05,4.170252311001e-05,3.05595033019742e-05,1,-0.457488353771424
"926",852,NA,NA,1,1,0,"Male","1991",1991,"10",0,"C",216,69,4,4,5,2.2180245482928e-05,2.13393913714622e-05,1.65543198256836e-05,1,0.432204305456869
"927",224,NA,NA,1,2,0,"Male","1991",1991,"10",6,"A",82,75,10,10,14,1.95671261934994e-05,4.170252311001e-05,3.05595033019742e-05,1,0.318908853380281
"928",791,NA,NA,1,1,0,"Female","1991",1991,"10",5,"A",115,116,6,6,7,1.7362543649845e-05,4.6658757645433e-05,2.25892747607498e-05,0,0.874733109878217
"929",862,NA,NA,1,1,0,"Male","1991",1991,"10",8,"A",79,0,6,6,7,1.37700788277108e-05,1.62674068034132e-05,1.68423381621623e-05,0,1.10351175391416
"930",1248,NA,NA,2,2,0,"Male","1991",1991,"10",10,"A",82,75,19,19,14,1.95671261934994e-05,4.170252311001e-05,3.05595033019742e-05,1,0.331101379535107
"931",1387,NA,NA,0,1,0,"Female","1991",1991,"10",10,"A",108,10,6,6,21,1.89842668313835e-05,4.26615370043863e-05,1.81572852774632e-05,1,0.2894957185318
"932",817,NA,NA,0,1,0,"Female","1992",1992,"05",1,"Y",216,69,NA,NA,3,2.2180245482928e-05,2.13393913714622e-05,1.66678306208841e-05,1,0.555692024442502
"933",852,NA,NA,0,0,0,"Male","1992",1992,"05",1,"Y",213,47,NA,NA,3,2.44731647105321e-05,1.96237267770615e-05,2.0196393194511e-05,1,NA
"934",1432,NA,NA,1,2,0,"Female","1992",1992,"05",12,"A",47,135,NA,NA,8,3.97476914904642e-05,6.34467079537609e-05,2.80800946757368e-05,1,0.104018032876291
"935",821,NA,NA,0,0,0,"Male","1992",1992,"05",1,"Y",174,44,NA,NA,7,4.88481423321562e-05,0.000126372047344651,2.50363585095418e-05,1,NA
"936",833,NA,NA,0,0,0,"Male","1992",1992,"05",1,"Y",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
"937",807,NA,NA,1,1,0,"Female","1992",1992,"05",10,"A",163,43,NA,NA,2,4.16100522674047e-05,0.000105294550915493,2.32884774211887e-05,1,NA
"938",812,NA,NA,1,1,0,"Female","1992",1992,"05",2,"A",174,44,NA,NA,7,4.88481423321562e-05,0.000126372047344651,2.50363585095418e-05,1,NA
"939",812,NA,NA,0,0,0,"Female","1992",1992,"05",2,"A",163,43,NA,NA,2,4.16100522674047e-05,0.000105294550915493,2.32884774211887e-05,1,NA
"940",1307,NA,NA,0,0,0,"Male","1992",1992,"05",13,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
"941",803,NA,NA,0,0,0,"Male","1992",1992,"06",2,"A",122,45,NA,NA,10,1.55091696049179e-05,1.26447896070632e-05,2.48103611681922e-05,1,NA
"942",847,NA,NA,0,1,0,"Male","1992",1992,"06",1,"Y",79,0,NA,NA,3,1.37700788277108e-05,1.62674068034132e-05,1.89117462101133e-05,0,0.735987795271023
"943",866,NA,NA,0,0,0,"Female","1992",1992,"06",3,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"944",1217,NA,NA,1,1,0,"Female","1992",1992,"06",11,"A",79,0,NA,NA,3,1.37700788277108e-05,1.62674068034132e-05,1.89117462101133e-05,1,NA
"945",827,NA,NA,0,0,0,"Male","1992",1992,"06",1,"Y",79,0,NA,NA,3,1.37700788277108e-05,1.62674068034132e-05,1.89117462101133e-05,0,NA
"946",872,NA,NA,1,0,0,"Female","1992",1992,"06",3,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,0.369026036511523
"947",662,NA,NA,1,1,0,"Female","1992",1992,"06",3,"A",96,58,NA,NA,7,1.6231890287148e-05,3.01356664406397e-05,2.84232469114019e-05,1,NA
"948",526,NA,NA,0,1,0,"Female","1992",1992,"06",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,0,NA
"949",584,NA,NA,0,0,0,"Female","1992",1992,"06",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"950",854,NA,NA,0,0,0,"Female","1992",1992,"06",1,"Y",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"951",36,NA,NA,2,0,0,"Male","1992",1992,"06",4,"A",34,121,NA,NA,8,3.41249111859862e-05,5.15906714533065e-05,2.79914441557225e-05,1,NA
"952",526,NA,NA,0,0,0,"Female","1992",1992,"06",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,0,NA
"953",851,NA,NA,1,0,0,"Male","1992",1992,"06",1,"Y",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,0,0.890919625036107
"954",863,NA,NA,0,0,0,"Male","1992",1992,"06",1,"Y",34,121,NA,NA,8,3.41249111859862e-05,5.15906714533065e-05,2.79914441557225e-05,1,0.75844332331451
"955",867,NA,NA,0,0,0,"Female","1992",1992,"06",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"956",535,NA,NA,0,0,0,"Female","1992",1992,"06",3,"A",131,85,NA,NA,10,1.7987562472653e-05,2.60259449841466e-05,2.49502568346724e-05,1,NA
"957",584,NA,NA,0,0,0,"Female","1992",1992,"06",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"958",842,NA,NA,0,0,0,"Male","1992",1992,"06",1,"Y",34,121,NA,NA,8,3.41249111859862e-05,5.15906714533065e-05,2.79914441557225e-05,0,0.732117828540124
"959",853,NA,NA,0,0,0,"Male","1992",1992,"06",1,"Y",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,NA
"960",853,NA,NA,0,0,0,"Male","1992",1992,"06",1,"Y",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,NA
"961",820,NA,NA,1,0,0,"Male","1992",1992,"06",11,"A",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,NA
"962",698,NA,NA,2,1,0,"Female","1992",1992,"06",3,"A",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,NA
"963",837,NA,NA,1,1,0,"Male","1992",1992,"06",1,"Y",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,0.672372294788724
"964",46,NA,NA,1,1,0,"Male","1992",1992,"06",4,"A",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,NA
"965",69,NA,NA,0,0,0,"Male","1992",1992,"06",4,"A",104,192,NA,NA,7,3.50987541024159e-05,5.17886421045977e-05,2.78505642715933e-05,0,NA
"966",757,NA,NA,1,1,1,"Male","1992",1992,"06",3,"A",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,0,NA
"967",836,NA,NA,0,1,0,"Male","1992",1992,"06",1,"Y",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,0.555496444787623
"968",810,NA,NA,0,1,0,"Female","1992",1992,"06",13,"A",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,NA
"969",834,NA,NA,0,0,0,"Female","1992",1992,"06",1,"Y",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,1,NA
"970",837,NA,NA,0,0,0,"Male","1992",1992,"06",1,"Y",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,NA
"971",838,NA,NA,0,0,0,"Female","1992",1992,"06",1,"Y",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,NA
"972",996,NA,NA,2,1,0,"Female","1992",1992,"06",6,"A",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,1,NA
"973",790,NA,NA,1,1,0,"Female","1992",1992,"06",2,"A",115,116,NA,NA,4,1.7362543649845e-05,4.6658757645433e-05,2.2056706471192e-05,1,NA
"974",826,NA,NA,2,0,0,"Male","1992",1992,"06",1,"Y",115,116,NA,NA,4,1.7362543649845e-05,4.6658757645433e-05,2.2056706471192e-05,1,NA
"975",973,NA,NA,0,0,0,"Male","1992",1992,"06",5,"A",131,85,NA,NA,10,1.7987562472653e-05,2.60259449841466e-05,2.49502568346724e-05,1,NA
"976",1131,NA,NA,1,1,1,"Female","1992",1992,"07",5,"A",47,135,NA,NA,8,3.97476914904642e-05,6.34467079537609e-05,2.80800946757368e-05,0,NA
"977",36,NA,NA,0,1,0,"Male","1992",1992,"07",4,"A",34,121,NA,NA,8,3.41249111859862e-05,5.15906714533065e-05,2.79914441557225e-05,1,NA
"978",77,NA,NA,1,1,1,"Female","1992",1992,"07",4,"A",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,0,NA
"979",526,NA,NA,0,0,0,"Female","1992",1992,"07",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,0,NA
"980",757,NA,NA,3,1,1,"Male","1992",1992,"07",3,"A",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,0,NA
"981",853,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,NA
"982",854,NA,NA,0,0,0,"Female","1992",1992,"07",1,"Y",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"983",856,NA,NA,0,1,0,"Male","1992",1992,"07",1,"Y",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,NA
"984",863,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",34,121,NA,NA,8,3.41249111859862e-05,5.15906714533065e-05,2.79914441557225e-05,1,NA
"985",829,NA,NA,0,1,0,"Male","1992",1992,"07",5,"A",47,135,NA,NA,8,3.97476914904642e-05,6.34467079537609e-05,2.80800946757368e-05,1,NA
"986",77,NA,NA,0,0,0,"Female","1992",1992,"07",4,"A",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,0,NA
"987",563,NA,NA,0,1,1,"Female","1992",1992,"07",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"988",698,NA,NA,2,1,0,"Female","1992",1992,"07",3,"A",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,NA
"989",834,NA,NA,1,1,1,"Female","1992",1992,"07",1,"Y",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,1,NA
"990",835,NA,NA,1,1,1,"Female","1992",1992,"07",1,"Y",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,1,NA
"991",836,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",104,192,NA,NA,7,3.50987541024159e-05,5.17886421045977e-05,2.78505642715933e-05,1,NA
"992",842,NA,NA,0,1,0,"Male","1992",1992,"07",1,"Y",34,121,NA,NA,8,3.41249111859862e-05,5.15906714533065e-05,2.79914441557225e-05,0,NA
"993",844,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",47,135,NA,NA,8,3.97476914904642e-05,6.34467079537609e-05,2.80800946757368e-05,1,NA
"994",854,NA,NA,0,0,0,"Female","1992",1992,"07",1,"Y",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"995",471,NA,NA,1,1,1,"Male","1992",1992,"07",6,"A",131,85,NA,NA,10,1.7987562472653e-05,2.60259449841466e-05,2.49502568346724e-05,0,NA
"996",864,NA,NA,1,0,1,"Male","1992",1992,"07",3,"A",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,0,NA
"997",937,NA,NA,1,2,1,"Male","1992",1992,"07",8,"A",47,135,NA,NA,8,3.97476914904642e-05,6.34467079537609e-05,2.80800946757368e-05,1,NA
"998",1158,NA,NA,2,0,0,"Female","1992",1992,"07",8,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,1,NA
"999",973,NA,NA,0,1,0,"Male","1992",1992,"07",5,"A",131,85,NA,NA,10,1.7987562472653e-05,2.60259449841466e-05,2.49502568346724e-05,1,NA
"1000",344,NA,NA,0,1,1,"Female","1992",1992,"07",4,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"1001",613,NA,NA,1,1,0,"Female","1992",1992,"07",3,"A",96,58,NA,NA,7,1.6231890287148e-05,3.01356664406397e-05,2.84232469114019e-05,1,NA
"1002",662,NA,NA,1,1,0,"Female","1992",1992,"07",3,"A",96,58,NA,NA,7,1.6231890287148e-05,3.01356664406397e-05,2.84232469114019e-05,1,NA
"1003",803,NA,NA,0,0,0,"Male","1992",1992,"07",2,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"1004",818,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",216,69,NA,NA,3,2.2180245482928e-05,2.13393913714622e-05,1.66678306208841e-05,0,NA
"1005",833,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
"1006",3,NA,NA,1,1,0,"Male","1992",1992,"07",8,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"1007",865,NA,NA,0,1,0,"Female","1992",1992,"07",6,"A",115,116,NA,NA,4,1.7362543649845e-05,4.6658757645433e-05,2.2056706471192e-05,1,NA
"1008",872,NA,NA,0,0,0,"Female","1992",1992,"07",3,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"1009",884,NA,NA,0,0,0,"Female","1992",1992,"07",1,"Y",131,85,NA,NA,10,1.7987562472653e-05,2.60259449841466e-05,2.49502568346724e-05,1,NA
"1010",1228,NA,NA,0,1,0,"Female","1992",1992,"07",13,"A",82,75,NA,NA,7,1.95671261934994e-05,4.170252311001e-05,2.70222743513592e-05,1,NA
"1011",1248,NA,NA,1,1,0,"Male","1992",1992,"07",11,"A",96,58,NA,NA,7,1.6231890287148e-05,3.01356664406397e-05,2.84232469114019e-05,1,NA
"1012",1483,NA,NA,0,0,0,"Male","1992",1992,"07",4,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
"1013",803,NA,NA,0,0,0,"Male","1992",1992,"07",2,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"1014",821,NA,NA,0,0,0,"Male","1992",1992,"07",1,"Y",174,44,NA,NA,7,4.88481423321562e-05,0.000126372047344651,2.50363585095418e-05,1,NA
"1015",812,NA,NA,0,0,0,"Female","1992",1992,"07",2,"A",174,44,NA,NA,7,4.88481423321562e-05,0.000126372047344651,2.50363585095418e-05,1,NA
"1016",866,NA,NA,0,1,0,"Female","1992",1992,"07",3,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,NA
"1017",1374,NA,NA,0,0,0,"Male","1992",1992,"07",13,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
"1018",526,NA,NA,0,1,0,"Female","1992",1992,"10",3,"A",21,77,NA,NA,7,2.67548073681436e-05,4.4658353416575e-05,2.45777204175534e-05,0,NA
"1019",834,NA,NA,1,1,0,"Female","1992",1992,"10",1,"Y",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,1,NA
"1020",835,NA,NA,0,1,1,"Female","1992",1992,"10",1,"Y",107,199,NA,NA,5,3.43252525557025e-05,5.35954643723891e-05,2.74673306257903e-05,1,1.61284759986924
"1021",836,NA,NA,0,1,0,"Male","1992",1992,"10",1,"Y",133,182,NA,NA,7,3.40255574578346e-05,4.1738942819679e-05,2.64692069380735e-05,1,1.46583026926319
"1022",853,NA,NA,1,0,0,"Male","1992",1992,"10",1,"Y",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,NA
"1023",856,NA,NA,0,0,0,"Male","1992",1992,"10",1,"Y",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,1.3600411546982
"1024",820,NA,NA,1,0,0,"Male","1992",1992,"10",11,"A",44,175,NA,NA,4,3.88936011226331e-05,7.25866006929479e-05,1.93667035068092e-05,1,1.87457494450938
"1025",937,NA,NA,1,1,0,"Male","1992",1992,"10",8,"A",47,135,NA,NA,8,3.97476914904642e-05,6.34467079537609e-05,2.80800946757368e-05,1,0.959166870682959
"1026",613,NA,NA,0,1,0,"Female","1992",1992,"10",3,"A",82,75,NA,NA,7,1.95671261934994e-05,4.170252311001e-05,2.70222743513592e-05,1,0.931127542894711
"1027",783,NA,NA,1,1,0,"Male","1992",1992,"10",2,"A",82,75,NA,NA,7,1.95671261934994e-05,4.170252311001e-05,2.70222743513592e-05,0,0.437264340525795
"1028",852,NA,NA,0,2,0,"Male","1992",1992,"10",1,"Y",216,69,NA,NA,3,2.2180245482928e-05,2.13393913714622e-05,1.66678306208841e-05,1,1.22261601030955
"1029",3,NA,NA,0,1,0,"Male","1992",1992,"10",8,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,1.42026437560943
"1030",1317,NA,NA,1,3,0,"Male","1992",1992,"10",13,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,-0.114098046348445
"1031",1374,NA,NA,0,3,0,"Male","1992",1992,"10",13,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,-0.377380112252497
"1032",140,NA,NA,0,0,0,"Male","1992",1992,"10",4,"A",115,116,NA,NA,4,1.7362543649845e-05,4.6658757645433e-05,2.2056706471192e-05,1,NA
"1033",662,NA,NA,1,1,0,"Female","1992",1992,"10",3,"A",96,58,NA,NA,7,1.6231890287148e-05,3.01356664406397e-05,2.84232469114019e-05,1,0.667966224119443
"1034",803,NA,NA,1,2,0,"Male","1992",1992,"10",2,"A",108,10,NA,NA,10,1.89842668313835e-05,4.26615370043863e-05,2.49357725568804e-05,1,1.37394529267115
"1035",806,NA,NA,1,1,0,"Male","1992",1992,"10",2,"A",82,75,NA,NA,7,1.95671261934994e-05,4.170252311001e-05,2.70222743513592e-05,1,0.959145191870882
"1036",858,NA,NA,1,2,0,"Male","1992",1992,"10",1,"Y",255,34,NA,NA,1,1.53551647545739e-05,7.18900511182885e-06,5.79451223743339e-06,1,1.43321940150871
"1037",1228,NA,NA,0,2,0,"Female","1992",1992,"10",13,"A",82,75,NA,NA,7,1.95671261934994e-05,4.170252311001e-05,2.70222743513592e-05,1,0.325274031189087
"1038",1317,NA,NA,0,0,0,"Male","1992",1992,"10",13,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
"1039",1374,NA,NA,0,0,0,"Male","1992",1992,"10",13,"A",189,45,NA,NA,7,4.47964172011959e-05,9.19135631406246e-05,2.55152682132434e-05,1,NA
